Name,ENVIRON_DISCLOSURE_SCORE,Company name
A UN,#N/A N/A,Agilent Technologies Inc
AAL UW,#N/A N/A,American Airlines Group Inc
AAP UN,22.48062016,Advance Auto Parts Inc
AAPL UW,#N/A N/A,Apple Inc
ABBV UN,#N/A N/A,AbbVie Inc
ABC UN,#N/A N/A,AmerisourceBergen Corp
ABMD UW,#N/A N/A,ABIOMED Inc
ABT UN,#N/A N/A,Abbott Laboratories
ACN UN,#N/A N/A,Accenture PLC
ADBE UW,41.86046512,Adobe Inc
ADI UW,#N/A N/A,Analog Devices Inc
ADM UN,#N/A N/A,Archer-Daniels-Midland Co
ADP UW,9.302325581,Automatic Data Processing Inc
ADS UN,#N/A N/A,Alliance Data Systems Corp
ADSK UW,#N/A N/A,Autodesk Inc
AEE UN,#N/A N/A,Ameren Corp
AEP UN,#N/A N/A,American Electric Power Co Inc
AES UN,#N/A N/A,AES Corp/The
AFL UN,#N/A N/A,Aflac Inc
AIG UN,7.142857143,American International Group Inc
AIV UN,#N/A N/A,Apartment Investment and Management Co
AIZ UN,#N/A N/A,Assurant Inc
AJG UN,#N/A N/A,Arthur J Gallagher & Co
AKAM UW,#N/A N/A,Akamai Technologies Inc
ALB UN,#N/A N/A,Albemarle Corp
ALGN UW,#N/A N/A,Align Technology Inc
ALK UN,#N/A N/A,Alaska Air Group Inc
ALL UN,#N/A N/A,Allstate Corp/The
ALLE UN,#N/A N/A,Allegion plc
ALXN UW,#N/A N/A,Alexion Pharmaceuticals Inc
AMAT UW,#N/A N/A,Applied Materials Inc
AMCR UN,#N/A N/A,Amcor PLC
AMD UW,#N/A N/A,Advanced Micro Devices Inc
AME UN,5.426356589,AMETEK Inc
AMGN UW,#N/A N/A,Amgen Inc
AMP UN,#N/A N/A,Ameriprise Financial Inc
AMT UN,#N/A N/A,American Tower Corp
AMZN UW,#N/A N/A,Amazon.com Inc
ANET UN,#N/A N/A,Arista Networks Inc
ANSS UW,2.325581395,ANSYS Inc
ANTM UN,#N/A N/A,Anthem Inc
AON UN,#N/A N/A,Aon PLC
AOS UN,#N/A N/A,A O Smith Corp
APA UW,#N/A N/A,Apache Corp
APD UN,48.8372093,Air Products and Chemicals Inc
APH UN,44.18604651,Amphenol Corp
APTV UN,#N/A N/A,Aptiv PLC
ARE UN,#N/A N/A,Alexandria Real Estate Equities Inc
ATO UN,4.827586207,Atmos Energy Corp
ATVI UW,#N/A N/A,Activision Blizzard Inc
AVB UN,#N/A N/A,AvalonBay Communities Inc
AVGO UW,4.651162791,Broadcom Inc
AVY UN,13.95348837,Avery Dennison Corp
AWK UN,#N/A N/A,American Water Works Co Inc
AXP UN,#N/A N/A,American Express Co
AZO UN,1.550387597,AutoZone Inc
BA UN,#N/A N/A,Boeing Co/The
BAC UN,#N/A N/A,Bank of America Corp
BAX UN,#N/A N/A,Baxter International Inc
BBY UN,#N/A N/A,Best Buy Co Inc
BDX UN,#N/A N/A,Becton Dickinson and Co
BEN UN,10.71428571,Franklin Resources Inc
BF/B UN,36.43410853,Brown-Forman Corp
BIIB UW,#N/A N/A,Biogen Inc
BK UN,#N/A N/A,Bank of New York Mellon Corp/The
BKNG UW,#N/A N/A,Booking Holdings Inc
BKR UN,#N/A N/A,Baker Hughes Co
BLK UN,10.71428571,BlackRock Inc
BLL UN,#N/A N/A,Ball Corp
BMY UN,#N/A N/A,Bristol-Myers Squibb Co
BR UN,3.875968992,Broadridge Financial Solutions Inc
BRK/B UN,#N/A N/A,Berkshire Hathaway Inc
BSX UN,#N/A N/A,Boston Scientific Corp
BWA UN,#N/A N/A,BorgWarner Inc
BXP UN,31.00775194,Boston Properties Inc
C UN,#N/A N/A,Citigroup Inc
CAG UN,#N/A N/A,Conagra Brands Inc
CAH UN,42.63565891,Cardinal Health Inc
CARR UN,#N/A N/A,Carrier Global Corp
CAT UN,40.31007752,Caterpillar Inc
CB UN,#N/A N/A,Chubb Ltd
CBOE UF,#N/A N/A,Cboe Global Markets Inc
CBRE UN,34.10852713,CBRE Group Inc
CCI UN,#N/A N/A,Crown Castle International Corp
CCL UN,#N/A N/A,Carnival Corp
CDNS UW,#N/A N/A,Cadence Design Systems Inc
CDW UW,#N/A N/A,CDW Corp/DE
CE UN,#N/A N/A,Celanese Corp
CERN UW,#N/A N/A,Cerner Corp
CF UN,42.63565891,CF Industries Holdings Inc
CFG UN,#N/A N/A,Citizens Financial Group Inc
CHD UN,#N/A N/A,Church & Dwight Co Inc
CHRW UW,#N/A N/A,CH Robinson Worldwide Inc
CHTR UW,#N/A N/A,Charter Communications Inc
CI UN,#N/A N/A,Cigna Corp
CINF UW,#N/A N/A,Cincinnati Financial Corp
CL UN,#N/A N/A,Colgate-Palmolive Co
CLX UN,#N/A N/A,Clorox Co/The
CMA UN,#N/A N/A,Comerica Inc
CMCSA UW,#N/A N/A,Comcast Corp
CME UW,#N/A N/A,CME Group Inc
CMG UN,37.5,Chipotle Mexican Grill Inc
CMI UN,#N/A N/A,Cummins Inc
CMS UN,#N/A N/A,CMS Energy Corp
CNC UN,#N/A N/A,Centene Corp
CNP UN,#N/A N/A,CenterPoint Energy Inc
COF UN,#N/A N/A,Capital One Financial Corp
COG UN,#N/A N/A,Cabot Oil & Gas Corp
COO UN,#N/A N/A,Cooper Cos Inc/The
COP UN,#N/A N/A,ConocoPhillips
COST UW,21.875,Costco Wholesale Corp
COTY UN,2.325581395,Coty Inc
CPB UN,#N/A N/A,Campbell Soup Co
CPRT UW,#N/A N/A,Copart Inc
CRM UN,#N/A N/A,salesforce.com Inc
CSCO UW,52.71317829,Cisco Systems Inc
CSX UW,#N/A N/A,CSX Corp
CTAS UW,8.527131783,Cintas Corp
CTL UN,23.57723577,CenturyLink Inc
CTSH UW,#N/A N/A,Cognizant Technology Solutions Corp
CTVA UN,6.201550388,Corteva Inc
CTXS UW,#N/A N/A,Citrix Systems Inc
CVS UN,#N/A N/A,CVS Health Corp
CVX UN,49.58677686,Chevron Corp
CXO UN,#N/A N/A,Concho Resources Inc
D UN,#N/A N/A,Dominion Energy Inc
DAL UN,#N/A N/A,Delta Air Lines Inc
DD UN,#N/A N/A,DuPont de Nemours Inc
DE UN,#N/A N/A,Deere & Co
DFS UN,8.035714286,Discover Financial Services
DG UN,#N/A N/A,Dollar General Corp
DGX UN,#N/A N/A,Quest Diagnostics Inc
DHI UN,2.325581395,DR Horton Inc
DHR UN,#N/A N/A,Danaher Corp
DIS UN,28.68217054,Walt Disney Co/The
DISCA UW,1.550387597,Discovery Inc
DISCK UW,1.550387597,Discovery Inc
DISH UW,#N/A N/A,DISH Network Corp
DLR UN,#N/A N/A,Digital Realty Trust Inc
DLTR UW,#N/A N/A,Dollar Tree Inc
DOV UN,#N/A N/A,Dover Corp
DOW UN,#N/A N/A,Dow Inc
DPZ UN,#N/A N/A,Domino's Pizza Inc
DRE UN,#N/A N/A,Duke Realty Corp
DRI UN,17.70833333,Darden Restaurants Inc
DTE UN,#N/A N/A,DTE Energy Co
DUK UN,#N/A N/A,Duke Energy Corp
DVA UN,#N/A N/A,DaVita Inc
DVN UN,#N/A N/A,Devon Energy Corp
DXC UN,51.1627907,DXC Technology Co
DXCM UW,#N/A N/A,DexCom Inc
EA UW,#N/A N/A,Electronic Arts Inc
EBAY UW,#N/A N/A,eBay Inc
ECL UN,#N/A N/A,Ecolab Inc
ED UN,#N/A N/A,Consolidated Edison Inc
EFX UN,#N/A N/A,Equifax Inc
EIX UN,37.24137931,Edison International
EL UN,48.8372093,Estee Lauder Cos Inc/The
EMN UN,#N/A N/A,Eastman Chemical Co
EMR UN,27.90697674,Emerson Electric Co
EOG UN,#N/A N/A,EOG Resources Inc
EQIX UW,#N/A N/A,Equinix Inc
EQR UN,#N/A N/A,Equity Residential
ES UN,#N/A N/A,Eversource Energy
ESS UN,#N/A N/A,Essex Property Trust Inc
ETFC UW,#N/A N/A,E*TRADE Financial Corp
ETN UN,#N/A N/A,Eaton Corp PLC
ETR UN,#N/A N/A,Entergy Corp
EVRG UN,#N/A N/A,Evergy Inc
EW UN,#N/A N/A,Edwards Lifesciences Corp
EXC UW,#N/A N/A,Exelon Corp
EXPD UW,#N/A N/A,Expeditors International of Washington Inc
EXPE UW,#N/A N/A,Expedia Group Inc
EXR UN,#N/A N/A,Extra Space Storage Inc
F UN,#N/A N/A,Ford Motor Co
FANG UW,#N/A N/A,Diamondback Energy Inc
FAST UW,#N/A N/A,Fastenal Co
FB UW,#N/A N/A,Facebook Inc
FBHS UN,#N/A N/A,Fortune Brands Home & Security Inc
FCX UN,51.1627907,Freeport-McMoRan Inc
FDX UN,73.64341085,FedEx Corp
FE UN,#N/A N/A,FirstEnergy Corp
FFIV UW,#N/A N/A,F5 Networks Inc
FIS UN,#N/A N/A,Fidelity National Information Services Inc
FISV UW,3.875968992,Fiserv Inc
FITB UW,#N/A N/A,Fifth Third Bancorp
FLIR UW,6.976744186,FLIR Systems Inc
FLS UN,#N/A N/A,Flowserve Corp
FLT UN,#N/A N/A,FleetCor Technologies Inc
FMC UN,#N/A N/A,FMC Corp
FOX UW,#N/A N/A,Fox Corp
FOXA UW,#N/A N/A,Fox Corp
FRC UN,#N/A N/A,First Republic Bank/CA
FRT UN,#N/A N/A,Federal Realty Investment Trust
FTI UN,2.325581395,TechnipFMC PLC
FTNT UW,#N/A N/A,Fortinet Inc
FTV UN,#N/A N/A,Fortive Corp
GD UN,#N/A N/A,General Dynamics Corp
GE UN,#N/A N/A,General Electric Co
GILD UW,#N/A N/A,Gilead Sciences Inc
GIS UN,#N/A N/A,General Mills Inc
GL UN,#N/A N/A,Globe Life Inc
GLW UN,13.95348837,Corning Inc
GM UN,#N/A N/A,General Motors Co
GOOG UW,#N/A N/A,Alphabet Inc
GOOGL UW,#N/A N/A,Alphabet Inc
GPC UN,#N/A N/A,Genuine Parts Co
GPN UN,#N/A N/A,Global Payments Inc
GPS UN,#N/A N/A,Gap Inc/The
GRMN UW,15.50387597,Garmin Ltd
GS UN,#N/A N/A,Goldman Sachs Group Inc/The
GWW UN,#N/A N/A,WW Grainger Inc
HAL UN,43.41085271,Halliburton Co
HAS UW,#N/A N/A,Hasbro Inc
HBAN UW,#N/A N/A,Huntington Bancshares Inc/OH
HBI UN,#N/A N/A,Hanesbrands Inc
HCA UN,#N/A N/A,HCA Healthcare Inc
HD UN,#N/A N/A,Home Depot Inc/The
HES UN,#N/A N/A,Hess Corp
HFC UN,44.96124031,HollyFrontier Corp
HIG UN,#N/A N/A,Hartford Financial Services Group Inc/The
HII UN,#N/A N/A,Huntington Ingalls Industries Inc
HLT UN,#N/A N/A,Hilton Worldwide Holdings Inc
HOG UN,#N/A N/A,Harley-Davidson Inc
HOLX UW,9.302325581,Hologic Inc
HON UN,#N/A N/A,Honeywell International Inc
